album/id,artists/name,album/name,album/release_date,album/total_tracks,track/explicit,songs/name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,playlist_genre,playlist_subgenre,time_signature
3d5T4SpuAOMi7GSFojXktx,salem ilese,PS5 (with TOMORROW X TOGETHER & Alan Walker),23/2/2022,1,FALSE,PS5 (with TOMORROW X TOGETHER & Alan Walker),0.602,0.642,2,-5.404,0,0.211,0.0131,0.00000533,0.0668,0.54,175.978,audio_features,7xNCacksfUkYXsXuSW4vNF,spotify:track:7xNCacksfUkYXsXuSW4vNF,https://api.spotify.com/v1/tracks/7xNCacksfUkYXsXuSW4vNF,https://api.spotify.com/v1/audio-analysis/7xNCacksfUkYXsXuSW4vNF,152214,pop,dance pop,4
224jZ4sUX7OhAuMwaxp86S,Adele,Easy On Me,14/10/2021,1,FALSE,Easy On Me,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,audio_features,0gplL1WMoJ6iYaPgMCL0gX,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/tracks/0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/audio-analysis/0gplL1WMoJ6iYaPgMCL0gX,224695,pop,dance pop,4
6dSmXsyGAnFtq048IFhiYd,Benson Boone,In The Stars,29/4/2022,1,FALSE,In The Stars,0.362,0.54,10,-6.031,1,0.0528,0.338,0,0.139,0.3,78.007,audio_features,1ei3hzQmrgealgRKFxIcWn,spotify:track:1ei3hzQmrgealgRKFxIcWn,https://api.spotify.com/v1/tracks/1ei3hzQmrgealgRKFxIcWn,https://api.spotify.com/v1/audio-analysis/1ei3hzQmrgealgRKFxIcWn,216410,pop,dance pop,3
3R4IAF9ApqYeUQrv1ddyoR,Tulus,Manusia,3/3/2022,10,FALSE,Hati-Hati di Jalan,0.643,0.436,6,-11.322,1,0.0357,0.702,0.0889,0.115,0.755,71.969,audio_features,2hHeGD57S0BcopfVcmehdl,spotify:track:2hHeGD57S0BcopfVcmehdl,https://api.spotify.com/v1/tracks/2hHeGD57S0BcopfVcmehdl,https://api.spotify.com/v1/audio-analysis/2hHeGD57S0BcopfVcmehdl,242000,pop,dance pop,4
6yNuKzr4GNs1c7Kpdf7c5w,Jamie Miller,Here's Your Perfect,30/4/2021,4,FALSE,Here's Your Perfect,0.558,0.454,6,-5.335,1,0.0551,0.499,0,0.146,0.424,113.12,audio_features,2aTKrdenCq5qBOoJPFdn4P,spotify:track:2aTKrdenCq5qBOoJPFdn4P,https://api.spotify.com/v1/tracks/2aTKrdenCq5qBOoJPFdn4P,https://api.spotify.com/v1/audio-analysis/2aTKrdenCq5qBOoJPFdn4P,158594,pop,dance pop,4
0v4swbfO7N9WyJkUo465C4,PSY,PSY 9th,29/4/2022,12,FALSE,That That (prod. & feat. SUGA of BTS),0.905,0.962,4,-3.197,1,0.0856,0.0299,0,0.0272,0.906,129.969,audio_features,5oH4DQAuu1J1800RzUsBWa,spotify:track:5oH4DQAuu1J1800RzUsBWa,https://api.spotify.com/v1/tracks/5oH4DQAuu1J1800RzUsBWa,https://api.spotify.com/v1/audio-analysis/5oH4DQAuu1J1800RzUsBWa,174647,rap,trap,4
4Mc7WwYH41hgUWeKX25Sot,LE SSERAFIM,FEARLESS,2/5/2022,5,FALSE,FEARLESS,0.863,0.62,7,-7.167,1,0.135,0.0508,0.00324,0.129,0.432,103.971,audio_features,296nXCOv97WJNRWzIBQnoj,spotify:track:296nXCOv97WJNRWzIBQnoj,https://api.spotify.com/v1/tracks/296nXCOv97WJNRWzIBQnoj,https://api.spotify.com/v1/audio-analysis/296nXCOv97WJNRWzIBQnoj,168437,pop,dance pop,4
0krbjj0iriZnWpy1Vi8tUd,Lauv,All 4 Nothing (I'm So In Love),8/4/2022,2,FALSE,All 4 Nothing (I'm So In Love),0.714,0.802,1,-5.339,1,0.0382,0.0557,0,0.0664,0.882,132.005,audio_features,21AziTMaZwcLflGMAj85o5,spotify:track:21AziTMaZwcLflGMAj85o5,https://api.spotify.com/v1/tracks/21AziTMaZwcLflGMAj85o5,https://api.spotify.com/v1/audio-analysis/21AziTMaZwcLflGMAj85o5,182507,pop,dance pop,4
6FgtuX3PtiB5civjHYhc52,Ruth B.,Safe Haven,5/5/2017,12,FALSE,Dandelions,0.609,0.692,1,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959,audio_features,2eAvDnpXP5W0cVtiI0PUxV,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,https://api.spotify.com/v1/tracks/2eAvDnpXP5W0cVtiI0PUxV,https://api.spotify.com/v1/audio-analysis/2eAvDnpXP5W0cVtiI0PUxV,233720,pop,dance pop,3
1AFVTHHm7kKoQ6Rgb25x3p,IVE,LOVE DIVE,5/4/2022,2,FALSE,LOVE DIVE,0.703,0.709,1,-4.169,0,0.0433,0.00379,0.0000543,0.333,0.538,117.941,audio_features,0Q5VnK2DYzRyfqQRJuUtvi,spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,https://api.spotify.com/v1/tracks/0Q5VnK2DYzRyfqQRJuUtvi,https://api.spotify.com/v1/audio-analysis/0Q5VnK2DYzRyfqQRJuUtvi,177187,pop,dance pop,4
1DKgZeAYrjslAPZVMe6EFt,LeeHi,4 ONLY,9/9/2021,10,FALSE,ONLY,0.536,0.296,5,-7.451,1,0.0346,0.892,0,0.0873,0.151,122.907,audio_features,6TBJkXHPhu3EsMk1bshwuI,spotify:track:6TBJkXHPhu3EsMk1bshwuI,https://api.spotify.com/v1/tracks/6TBJkXHPhu3EsMk1bshwuI,https://api.spotify.com/v1/audio-analysis/6TBJkXHPhu3EsMk1bshwuI,240907,pop,dance pop,3
6MuWCR3WPjwyKhqsTKLZ3z,Jaymes Young,Feel Something,23/6/2017,12,FALSE,Infinity,0.671,0.673,11,-6.941,0,0.0444,0.148,0.0000529,0.304,0.494,121.963,audio_features,1SOClUWhOi8vHZYMz3GluK,spotify:track:1SOClUWhOi8vHZYMz3GluK,https://api.spotify.com/v1/tracks/1SOClUWhOi8vHZYMz3GluK,https://api.spotify.com/v1/audio-analysis/1SOClUWhOi8vHZYMz3GluK,237720,r&b,hip pop,4
4EGVr9mSwFPoqvDMkiahJp,Shawn Mendes,When You're Gone,31/3/2022,1,FALSE,When You're Gone,0.603,0.691,5,-5.805,1,0.0372,0.0248,0,0.583,0.577,147.148,audio_features,0U1W2LZVUX7qTm7dDpqxh6,spotify:track:0U1W2LZVUX7qTm7dDpqxh6,https://api.spotify.com/v1/tracks/0U1W2LZVUX7qTm7dDpqxh6,https://api.spotify.com/v1/audio-analysis/0U1W2LZVUX7qTm7dDpqxh6,172267,pop,dance pop,4
1FBBji6E8EB4zBsTn6m8Ax,dhruv,double take,24/5/2019,1,FALSE,double take,0.654,0.434,8,-11.163,1,0.0665,0.837,0,0.216,0.223,109.069,audio_features,2CVChktEKBsM6v4IfdFU5k,spotify:track:2CVChktEKBsM6v4IfdFU5k,https://api.spotify.com/v1/tracks/2CVChktEKBsM6v4IfdFU5k,https://api.spotify.com/v1/audio-analysis/2CVChktEKBsM6v4IfdFU5k,171743,r&b,hip pop,4
1gAC5jqOsnhlGjfucDDkWo,Marsha Milan,Cinta,18/3/2022,1,FALSE,Cinta,0.547,0.428,9,-11.937,0,0.0328,0.0867,0.00000388,0.122,0.167,129.986,audio_features,0jkJChuTxiVr05C2oUAlht,spotify:track:0jkJChuTxiVr05C2oUAlht,https://api.spotify.com/v1/tracks/0jkJChuTxiVr05C2oUAlht,https://api.spotify.com/v1/audio-analysis/0jkJChuTxiVr05C2oUAlht,234555,pop,dance pop,4
0KTj6k94XZh0c6IEMfxeWV,Glass Animals,Dreamland (+ Bonus Levels),6/8/2020,18,FALSE,Heat Waves,0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,audio_features,02MWAaffLxlfxAUY7c5dvx,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,r&b,hip pop,4
6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,SOUR,21/5/2021,11,TRUE,happier,0.395,0.443,6,-9.72,1,0.133,0.765,0.00000967,0.0839,0.338,168.924,audio_features,2tGvwE8GcFKwNdAXMnlbfl,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,https://api.spotify.com/v1/tracks/2tGvwE8GcFKwNdAXMnlbfl,https://api.spotify.com/v1/audio-analysis/2tGvwE8GcFKwNdAXMnlbfl,175933,pop,dance pop,3
5lVImnUah94yoxXy2H1qo7,Madison Beer,Reckless,4/6/2021,1,FALSE,Reckless,0.386,0.426,3,-6.642,1,0.0363,0.807,0,0.14,0.261,180.104,audio_features,5ajjAnNRh8bxFvaVHzpPjh,spotify:track:5ajjAnNRh8bxFvaVHzpPjh,https://api.spotify.com/v1/tracks/5ajjAnNRh8bxFvaVHzpPjh,https://api.spotify.com/v1/audio-analysis/5ajjAnNRh8bxFvaVHzpPjh,203385,pop,dance pop,3
4sigvBSInHo1GXR6UUYTVm,Insomniacks,Sempurna,14/2/2022,1,FALSE,Sempurna,0.317,0.38,9,-10.414,1,0.0319,0.467,0.000027,0.091,0.191,135.563,audio_features,67C6LHREqmytK923Ak6R0I,spotify:track:67C6LHREqmytK923Ak6R0I,https://api.spotify.com/v1/tracks/67C6LHREqmytK923Ak6R0I,https://api.spotify.com/v1/audio-analysis/67C6LHREqmytK923Ak6R0I,251715,pop,dance pop,3
0vkAczpFKCazPKaoLtnBr0,Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),11/2/2022,1,FALSE,The Joker And The Queen (feat. Taylor Swift),0.528,0.309,0,-7.398,1,0.0329,0.924,0.0000021,0.282,0.307,133.83,audio_features,6N1K5OVVCopBjGViHs2IvP,spotify:track:6N1K5OVVCopBjGViHs2IvP,https://api.spotify.com/v1/tracks/6N1K5OVVCopBjGViHs2IvP,https://api.spotify.com/v1/audio-analysis/6N1K5OVVCopBjGViHs2IvP,185422,indie,dance pop,4
4QLAtpLNUsHEYrcHXmMIZZ,The Kid LAROI,STAY (with Justin Bieber),9/7/2021,1,TRUE,STAY (with Justin Bieber),0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806,rock,permanent wave,4
3sDud6BapENewYxlL8VH8r,Shawn Mendes,It'll Be Okay,1/12/2021,1,FALSE,It'll Be Okay,0.398,0.286,7,-11.881,1,0.033,0.616,0.000146,0.0912,0.0666,78.262,audio_features,2KnLkZ3z7PO3kgVGHGqDpD,spotify:track:2KnLkZ3z7PO3kgVGHGqDpD,https://api.spotify.com/v1/tracks/2KnLkZ3z7PO3kgVGHGqDpD,https://api.spotify.com/v1/audio-analysis/2KnLkZ3z7PO3kgVGHGqDpD,222800,pop,dance pop,4
4uVXrwE4aSV2L2aqAHSOXa,Jack Harlow,First Class,8/4/2022,1,TRUE,First Class,0.905,0.563,8,-6.135,1,0.102,0.0254,0.00000971,0.113,0.324,106.998,audio_features,1rDQ4oMwGJI7B4tovsBOxc,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/tracks/1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/audio-analysis/1rDQ4oMwGJI7B4tovsBOxc,173948,rap,trap,4
5x23D06mbAdtkU9N9JrZyf,The Kid LAROI,Thousand Miles,22/4/2022,1,TRUE,Thousand Miles,0.376,0.657,7,-4.658,1,0.0768,0.0858,0,0.0884,0.203,80.565,audio_features,1r8ZCjfrQxoy2wVaBUbpwg,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,https://api.spotify.com/v1/tracks/1r8ZCjfrQxoy2wVaBUbpwg,https://api.spotify.com/v1/audio-analysis/1r8ZCjfrQxoy2wVaBUbpwg,164782,rock,permanent wave,4
2W5QlcRZ0zCwFk3pSK6PZd,Conan Gray,Memories,15/4/2022,1,FALSE,Memories,0.34,0.684,11,-6.306,1,0.044,0.00979,0,0.348,0.556,112.969,audio_features,7AYP21Q4qnxw2WxETEvSRb,spotify:track:7AYP21Q4qnxw2WxETEvSRb,https://api.spotify.com/v1/tracks/7AYP21Q4qnxw2WxETEvSRb,https://api.spotify.com/v1/audio-analysis/7AYP21Q4qnxw2WxETEvSRb,248819,rock,permanent wave,4
3MFTbUnA8C9T6KCBb0gpH5,The Walters,Songs for Dads,28/11/2014,6,FALSE,I Love You So,0.578,0.669,10,-4.898,1,0.0377,0.65,0,0.13,0.503,75.995,audio_features,1175r6ZmkUjX8dRJLz9Ohk,spotify:track:1175r6ZmkUjX8dRJLz9Ohk,https://api.spotify.com/v1/tracks/1175r6ZmkUjX8dRJLz9Ohk,https://api.spotify.com/v1/audio-analysis/1175r6ZmkUjX8dRJLz9Ohk,160254,indie,dance pop,4
6FIMt58naoGYrOe4Wn2P3n,Camila Cabello,Bam Bam (feat. Ed Sheeran),4/3/2022,1,FALSE,Bam Bam (feat. Ed Sheeran),0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,audio_features,0QBzMgT7NIeoCYy3sJCof1,spotify:track:0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/tracks/0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/audio-analysis/0QBzMgT7NIeoCYy3sJCof1,206071,pop,dance pop,4
1bTgKomQYSkKYPD9UI9W4b,Imagine Dragons,Enemy (with JID) [from the series Arcane League of Legends],28/10/2021,1,FALSE,Enemy (with JID) - from the series Arcane League of Legends,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,audio_features,1r9xUipOqoNwggBpENDsvJ,spotify:track:1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/tracks/1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/audio-analysis/1r9xUipOqoNwggBpENDsvJ,173381,pop,dance pop,4
